0.801559 0.139031 0.264999 0.089031 0.075472 0.455887 0.583643 0.904452 0
0.639890 0.850399 0.803426 0.099601 0.059358 0.433431 0.996340 0.986194 100
0.778306 0.846937 0.152558 0.102558 0.013502 0.929518 0.026417 0.156136 200
0.431947 0.557704 0.686920 0.206185 0.104446 0.765158 0.532272 0.347553 300
0.760179 0.788432 0.798938 0.151062 0.088556 0.735818 0.471720 0.976991 400
0.787694 0.480230 0.549706 0.162306 0.130851 0.230409 0.694376 0.329717 500
0.623861 0.333361 0.260407 0.023324 0.011129 0.856203 0.921576 0.781982 600
0.352050 0.813923 0.669356 0.136077 0.086926 0.211910 0.758859 0.901346 700
0.685587 0.658474 0.490516 0.048002 0.027188 0.559255 0.198616 0.215915 800
0.291883 0.106028 0.237355 0.056028 0.010241 0.056664 0.989537 0.499642 900
0.633112 0.880444 0.772235 0.069556 0.011960 0.887589 0.545878 0.559204 1000
0.800669 0.878467 0.708333 0.071533 0.018642 0.547748 0.857024 0.569205 1100
0.267978 0.866140 0.557356 0.083860 0.053256 0.010932 0.940282 0.001160 1200
0.562744 0.607746 0.514303 0.239930 0.077983 0.738189 0.713683 0.329741 1300
0.609575 0.753191 0.353658 0.185848 0.005669 0.578706 0.152179 0.310083 1400
0.497899 0.789799 0.811482 0.072393 0.039219 0.144235 0.062638 0.322420 1500
0.231098 0.352319 0.215618 0.165618 0.011924 0.981175 0.184242 0.127610 1600
0.719671 0.619935 0.229475 0.179475 0.008499 0.592151 0.711030 0.874458 1700
0.802556 0.686905 0.451749 0.147444 0.105374 0.239660 0.247321 0.540072 1800
0.264309 0.194967 0.444208 0.144967 0.063758 0.344021 0.592875 0.587235 1900
0.682690 0.423337 0.183023 0.133023 0.003634 0.884429 0.387476 0.412079 2000
0.723305 0.872691 0.829074 0.077309 0.044852 0.764964 0.032502 0.430776 2100
0.855769 0.292006 0.225389 0.001432 0.001317 0.476977 0.269066 0.164260 2200
0.520461 0.351183 0.681821 0.268179 0.078066 0.525113 0.171147 0.206354 2300
0.230980 0.665390 0.806356 0.143644 0.048636 0.835950 0.750383 0.281573 2400
0.825480 0.230779 0.648888 0.124520 0.034544 0.695197 0.306737 0.686667 2500
0.794145 0.794802 0.591340 0.155198 0.051004 0.605418 0.630762 0.186209 2600
0.341771 0.165040 0.596216 0.115040 0.084859 0.561280 0.145446 0.044911 2700
0.359705 0.609738 0.772498 0.069751 0.013609 0.775463 0.673810 0.857376 2800
0.179685 0.481399 0.137888 0.087888 0.004590 0.392658 0.450654 0.468189 2900
0.688898 0.775119 0.649760 0.005933 0.002900 0.908657 0.891906 0.899311 3000
0.226519 0.842593 0.518008 0.073496 0.028137 0.698939 0.324165 0.765550 3100
0.889783 0.492418 0.128497 0.020237 0.005098 0.221519 0.618526 0.110520 3200
0.858353 0.659115 0.376897 0.091647 0.090844 0.566388 0.452608 0.590945 3300
0.615725 0.681545 0.880170 0.069830 0.051840 0.099901 0.016004 0.903213 3400
0.126724 0.402221 0.511306 0.076724 0.039552 0.270844 0.629662 0.258223 3500
0.881388 0.698152 0.158043 0.068612 0.029823 0.876309 0.756404 0.558949 3600
0.567448 0.567531 0.201805 0.034158 0.005824 0.758088 0.367085 0.226205 3700
0.202700 0.111145 0.427808 0.061145 0.043564 0.120405 0.470244 0.081685 3800
0.853260 0.264261 0.220277 0.096740 0.013246 0.828021 0.862990 0.290491 3900
0.158351 0.291106 0.349009 0.108351 0.030605 0.420665 0.600219 0.028751 4000
0.757838 0.412969 0.225125 0.175125 0.085989 0.583502 0.072397 0.780094 4100
